CCC_ID,Domain,Control_Name,Requirement_Summary,Control_Type,Evidence_Examples,Azure_Policy_Name,Azure_Policy_ID,Defender_Control,Defender_Recommendation
CCC-IaaS-01,Infrastructure Security,Compute Instance Hardening,Harden virtual machine configurations and disable unnecessary services,Technical,"VM configs, baseline assessments",Machines should be configured to periodically check for missing system updates,bd876905-5b84-4f73-ab2d-2e7a7c4568d9,Posture Management,Remediate security configurations
CCC-IaaS-02,Infrastructure Security,Virtual Network Isolation,Implement network segmentation and isolation for workloads,Technical,"VNet configs, NSG rules",Subnets should be associated with a Network Security Group,e71308d3-144b-4262-b144-efdc3cc90517,Network Security,Restrict unauthorized network access
CCC-IaaS-03,Infrastructure Security,Storage Encryption,Encrypt all storage at rest with strong encryption algorithms,Technical,"Storage configs, encryption status",OS and data disks should be encrypted with a customer-managed key,702dd420-7fcc-42c5-afe8-4026edd20fe0,Data Protection,Enable encryption at rest
CCC-IaaS-04,Infrastructure Security,Secure Boot & Attestation,Enable secure boot and trusted platform module features,Technical,"VM security configs, attestation logs",N/A,N/A,Compute Security,Enable secure boot for virtual machines
CCC-PaaS-01,Platform Security,API Gateway Security,Implement API gateway with authentication and rate limiting,Technical,"API Management configs, policies",N/A,N/A,Application Security,Secure APIs with authentication and throttling
CCC-PaaS-02,Platform Security,Database Security,Enable database encryption, audit logging, and access controls,Technical,"Database configs, audit logs",Azure SQL Managed Instances should disable public network access,9dfea752-dd46-4766-aed1-c355fa93fb91,Data Protection,Secure database services
CCC-PaaS-03,Platform Security,Container Security,Scan container images and enforce pod security policies,Technical,"Container scan results, policies",Containers running in Azure should have vulnerability findings resolved,N/A,Container Security,Remediate vulnerabilities in containers
CCC-PaaS-04,Platform Security,Serverless Security,Implement least privilege for serverless functions and secure secrets,Technical,"Function configs, Key Vault access",N/A,N/A,Application Security,Secure serverless functions
CCC-Data-01,Data Security,Data Classification,Classify data based on sensitivity and apply appropriate controls,Operational,"Classification tags, policies",N/A,N/A,Data Protection,Implement data classification
CCC-Data-02,Data Security,Data Masking,Apply data masking for non-production environments,Technical,"Masking configs, test data",N/A,N/A,Data Protection,Implement data masking policies
CCC-Data-03,Data Security,Data Residency,Ensure data is stored in compliant geographic regions,Technical,"Region configs, data location reports",N/A,N/A,Data Sovereignty,Enforce data residency requirements
CCC-Data-04,Data Security,Data Retention,Define and enforce data retention and deletion policies,Operational,"Retention policies, deletion logs",N/A,N/A,Data Governance,Implement data retention policies
CCC-IAM-01,Identity & Access,Identity Federation,Implement federated identity with SSO capabilities,Technical,"SSO configs, federation trust",N/A,N/A,Identity & Access Management,Configure identity federation
CCC-IAM-02,Identity & Access,Privileged Access Management,Implement just-in-time access for privileged operations,Technical,"PIM configs, access reviews",N/A,N/A,Identity & Access Management,Implement privileged identity management
CCC-IAM-03,Identity & Access,Service Account Management,Secure and rotate service account credentials,Technical,"Service principal configs, credential rotation",N/A,N/A,Identity & Access Management,Manage service identities securely
