SITA_ID,Domain,Control_Name,Requirement_Summary,Control_Type,Evidence_Examples,Azure_Policy_Name,Azure_Policy_ID,Defender_Control,Defender_Recommendation
SITA-SPO-01,Sovereign Cloud Architecture,Data Residency,Ensure all data resides within South African borders,Technical,"Region configs, data location reports",N/A,N/A,Data Sovereignty,Enforce data residency in South Africa
SITA-SPO-02,Sovereign Cloud Architecture,Sovereign Identity,Implement identity services within sovereign boundaries,Technical,"Identity configs, directory location",N/A,N/A,Identity & Access Management,Configure sovereign identity services
SITA-SPO-03,Sovereign Cloud Architecture,Local Key Management,Manage encryption keys within South African jurisdiction,Technical,"Key Vault location, key management",N/A,N/A,Data Protection,Implement local key management
SITA-SPO-04,Sovereign Cloud Architecture,Government Network Connectivity,Secure connectivity to government networks (GovNet),Technical,"Network configs, VPN/ExpressRoute",N/A,N/A,Network Security,Secure government network connectivity
SITA-SPO-05,Sovereign Cloud Architecture,Sovereign Compute,Deploy compute resources in South African regions only,Technical,"VM locations, resource deployment regions",N/A,N/A,Compute Security,Deploy sovereign compute resources
SITA-SPO-06,Sovereign Cloud Architecture,Compliance with SA Laws,Ensure compliance with South African data protection laws (POPIA),Management,"Compliance assessments, legal reviews",N/A,N/A,Regulatory Compliance,Maintain POPIA compliance
SITA-SPO-07,Sovereign Cloud Architecture,Local Support and Operations,Ensure support and operations are based in South Africa,Operational,"Support contracts, operations center location",N/A,N/A,Governance & Compliance,Implement local operations
SITA-SPO-08,Sovereign Cloud Architecture,Background-Checked Personnel,Require background checks for personnel accessing government data,Management,"Background check records, clearance levels",N/A,N/A,Governance & Compliance,Verify personnel clearances
SITA-SPO-09,Sovereign Cloud Architecture,Incident Response Sovereignty,Implement incident response within sovereign boundaries,Operational,"IR procedures, local response teams",N/A,N/A,Incident Response,Implement sovereign incident response
SITA-SPO-10,Sovereign Cloud Architecture,Audit and Compliance Reporting,Provide audit trails for government compliance,Technical,"Audit logs, compliance reports",Enable logging by category group for resources to Log Analytics,N/A,Logging & Monitoring,Enable sovereign audit logging
SITA-SPO-11,Sovereign Cloud Architecture,Data Transfer Controls,Control and monitor data transfers outside SA borders,Technical,"Data transfer policies, monitoring",N/A,N/A,Data Protection,Monitor cross-border data transfers
SITA-SPO-12,Sovereign Cloud Architecture,Sovereign Backup and DR,Implement backup and DR within South African regions,Technical,"Backup configs, DR sites",N/A,N/A,Business Continuity,Implement sovereign backup and DR
SITA-SPO-13,Sovereign Cloud Architecture,Technology Sovereignty,Use technology solutions that support sovereign operations,Management,"Technology assessments, vendor reviews",N/A,N/A,Governance & Compliance,Assess technology sovereignty
SITA-SPO-14,Sovereign Cloud Architecture,Exit Strategy,Implement data portability and exit procedures,Operational,"Exit procedures, data export capabilities",N/A,N/A,Data Governance,Implement cloud exit strategy
