Control ID,Control Domain,Control Title,Control Description,Azure Policy Initiative,Microsoft Defender for Cloud,Azure Services/Features,Implementation Notes
CDC-TR-01a,Network Security,Firewalls and DDoS Protection,"Implement firewalls and DDoS protection mechanisms at the network level to protect cloud services.",Azure DDoS Protection Standard policies; NSG policies; Azure Firewall policies,Secure Score: Protect applications against DDoS attacks; Recommendation: Azure DDoS Protection Standard should be enabled,Azure Firewall Premium; Azure DDoS Network Protection; Network Security Groups; Web Application Firewall,Deploy Azure Firewall with threat intelligence-based filtering and DDoS Network Protection on VNets hosting workloads
CDC-TR-01b,Network Security,OS and Network Hardening,"Apply secure configurations (OS Hardening) to operating systems, networks, servers, and user accounts.",Microsoft Cloud Security Benchmark; Azure Automanage Machine Configuration policies,Recommendation: Machines should have a vulnerability assessment solution; System updates should be installed,Azure Automanage; Guest Configuration; Microsoft Defender for Servers,Apply CIS benchmarks via Guest Configuration; enable vulnerability assessment
CDC-TR-02,Identity & Access Control,Centralized Identity and Access Management,"Manage permissions and identity centrally using RBAC, IBAC, ABAC mechanisms, and implement tokenization for sensitive data.",ISO 27001:2022 (A.9 Access Control); Azure RBAC built-in policies; PIM policies,Recommendation: Role-Based Access Control should be used on Kubernetes Services; Use Azure RBAC for Key Vault,Microsoft Entra ID; Azure RBAC; Privileged Identity Management (PIM); Azure Key Vault (tokenization),Implement PIM for just-in-time privileged access; enforce RBAC across all resources
CDC-TR-03,Logging & Monitoring,SIEM Integration and Log Aggregation,"Audit user activities and data movements using SIEM systems integrated with log aggregation tools.",Enable auditing and logging policies; Diagnostic Settings policies; Activity Log policies,Secure Score: Enable auditing and logging,Microsoft Sentinel; Log Analytics workspace; Azure Monitor; Diagnostic Settings,Deploy Sentinel workspace; configure data connectors for all Azure services; enable Activity Log streaming
CDC-TR-04a,Identity & Access Control,Multi-Factor Authentication,"Enable two-factor (2FA) or multi-factor authentication (MFA) for all users accessing cloud services.",Microsoft Cloud Security Benchmark (IM-4); Conditional Access policies,Recommendation: MFA should be enabled on accounts with owner permissions; MFA should be enabled on accounts with write permissions,Microsoft Entra Conditional Access; Microsoft Authenticator; FIDO2 keys,Create Conditional Access policy requiring MFA for all users; exclude break-glass accounts with compensating controls
CDC-TR-04b,Identity & Access Control,Geographic Access Restrictions,"Enable conditional access based on geographic location (Geo-Blocking) to restrict access from unauthorized regions.",Conditional Access named locations policies,N/A (Entra ID feature - not monitored by Defender),Microsoft Entra Conditional Access; Named Locations,Configure named locations for Oman and approved regions; block access from high-risk countries
CDC-TR-05,Risk Management & Compliance,Penetration Testing and Risk Assessment,"Conduct technical security assessments (penetration testing) and risk analysis for cloud environments.",ISO 27001:2022 (A.18.2.3); Manual attestation policies,Recommendation: Vulnerability assessment should be enabled on your SQL servers; Machines should have vulnerability findings resolved,Microsoft Defender Vulnerability Management; Qualys integration; third-party pen testing,Enable Defender vulnerability assessment; schedule annual penetration tests; document risk register
CDC-TR-06,Data Protection & Privacy,Data Classification,"Classify all data according to sensitivity levels as per applicable laws and regulations.",Microsoft Cloud Security Benchmark (DP-1); SQL Data Discovery policies,Recommendation: Sensitive data in your SQL databases should be classified,Microsoft Purview Data Map; Sensitivity Labels; SQL Data Discovery and Classification,Deploy Purview for data discovery; apply sensitivity labels (Public, Internal, Confidential, Highly Confidential)
CDC-TR-07a,Data Protection & Privacy,Data Encryption in Transit and at Rest,"Protect data during transfer, processing, and storage using encryption mechanisms.",TLS enforcement policies; Storage encryption policies; SQL TDE policies,Recommendation: Secure transfer to storage accounts should be enabled; Transparent Data Encryption should be enabled,Azure Storage Service Encryption; TLS 1.2+ enforcement; Azure SQL TDE,Enforce HTTPS-only on storage; require TLS 1.2 minimum; enable TDE on all databases
CDC-TR-07b,Data Protection & Privacy,Customer-Managed Keys (BYOK),"Apply encryption using single, double, or customer-managed keys (BYOK) based on data sensitivity.",Microsoft Cloud for Sovereignty Baseline Confidential (SO.3); CMK policies for Storage/SQL/Disks,Recommendation: Storage accounts should use customer-managed key for encryption; SQL servers should use customer-managed keys,Azure Key Vault; Key Vault Managed HSM; Customer-Managed Keys; Double Encryption,Deploy Key Vault with HSM backing; configure CMK for storage accounts and SQL databases containing classified data
