Control_ID,Domain,Control_Name,Requirement_Summary,Control_Type,Evidence_Examples,Azure_Policy_Name,Azure_Policy_ID,Defender_Control,Defender_Recommendation
IGR-01,Intergovernmental Coordination,Coordination Mechanisms,Establish coordination mechanisms between government spheres,Governance,"Agreements, meeting records, coordination mechanisms",N/A,N/A,Regulatory Compliance,Implement IGR compliance controls
IGR-02,Information Sharing,Government Information Sharing,"Share information between national, provincial, and local government",Governance,"Agreements, meeting records, coordination mechanisms",N/A,N/A,Data Protection,Enable data classification and protection
IGR-03,Dispute Resolution,Intergovernmental Disputes,Resolve disputes between government entities,Governance,"Agreements, meeting records, coordination mechanisms",N/A,N/A,Regulatory Compliance,Implement IGR compliance controls
IGR-04,Joint Planning,Collaborative Planning,Enable joint planning across government spheres,Governance,"Agreements, meeting records, coordination mechanisms",N/A,N/A,Regulatory Compliance,Implement IGR compliance controls
IGR-05,Service Delivery,Integrated Service Delivery,Coordinate service delivery across government levels,Governance,"Agreements, meeting records, coordination mechanisms",N/A,N/A,Regulatory Compliance,Implement IGR compliance controls
IGR-06,Resource Allocation,Resource Coordination,Coordinate resource allocation between government entities,Governance,"Agreements, meeting records, coordination mechanisms",N/A,N/A,Regulatory Compliance,Implement IGR compliance controls
IGR-07,Policy Alignment,Policy Coherence,Ensure policy coherence across government spheres,Governance,"Agreements, meeting records, coordination mechanisms",N/A,N/A,Regulatory Compliance,Implement IGR compliance controls
IGR-08,Monitoring & Reporting,Performance Monitoring,Monitor intergovernmental cooperation and performance,Governance,"Agreements, meeting records, coordination mechanisms",N/A,N/A,Logging & Monitoring,Enable Azure Monitor and logging
IGR-09,Capacity Support,Capacity Building Support,Provide capacity support to other government spheres,Governance,"Agreements, meeting records, coordination mechanisms",N/A,N/A,Regulatory Compliance,Implement IGR compliance controls
IGR-10,Communication,Intergovernmental Communication,Maintain effective communication between government entities,Governance,"Agreements, meeting records, coordination mechanisms",N/A,N/A,Regulatory Compliance,Implement IGR compliance controls
