Control ID,Control Domain,Control Title,Control Description
SITA-SPO-01,Sovereign Cloud Architecture,Data Residency,Ensure all data resides within South African borders
SITA-SPO-02,Sovereign Cloud Architecture,Sovereign Identity,Implement identity services within sovereign boundaries
SITA-SPO-03,Sovereign Cloud Architecture,Local Key Management,Manage encryption keys within South African jurisdiction
SITA-SPO-04,Sovereign Cloud Architecture,Government Network Connectivity,Secure connectivity to government networks (GovNet)
SITA-SPO-05,Sovereign Cloud Architecture,Sovereign Compute,Deploy compute resources in South African regions only
SITA-SPO-06,Sovereign Cloud Architecture,Compliance with SA Laws,Ensure compliance with South African data protection laws (POPIA)
SITA-SPO-07,Sovereign Cloud Architecture,Local Support and Operations,Ensure support and operations are based in South Africa
SITA-SPO-08,Sovereign Cloud Architecture,Background-Checked Personnel,Require background checks for personnel accessing government data
SITA-SPO-09,Sovereign Cloud Architecture,Incident Response Sovereignty,Implement incident response within sovereign boundaries
SITA-SPO-10,Sovereign Cloud Architecture,Audit and Compliance Reporting,Provide audit trails for government compliance
SITA-SPO-11,Sovereign Cloud Architecture,Data Transfer Controls,Control and monitor data transfers outside SA borders
SITA-SPO-12,Sovereign Cloud Architecture,Sovereign Backup and DR,Implement backup and DR within South African regions
SITA-SPO-13,Sovereign Cloud Architecture,Technology Sovereignty,Use technology solutions that support sovereign operations
SITA-SPO-14,Sovereign Cloud Architecture,Exit Strategy,Implement data portability and exit procedures
SITA-Net-01,Network Architecture,Government Network Segmentation,Segment networks for different government classification levels
SITA-Net-02,Network Architecture,Secure Internet Gateway,Implement secure internet gateway for government traffic
SITA-Net-03,Network Architecture,Private Connectivity to Services,Use private endpoints for all government PaaS services
SITA-Net-04,Network Architecture,Network Traffic Inspection,Inspect all network traffic for threats and policy violations
SITA-IAM-01,Identity & Access Management,Government Identity Federation,Federate with government identity services
SITA-IAM-02,Identity & Access Management,Multi-Factor Authentication,Enforce MFA for all government user access
SITA-IAM-03,Identity & Access Management,Privileged Access for Government,Implement privileged access management for government administrators
SITA-IAM-04,Identity & Access Management,Security Clearance Integration,Integrate security clearance levels with access controls
SITA-Data-01,Data Security,Government Data Classification,Classify data according to government security classifications
SITA-Data-02,Data Security,Classified Data Encryption,Encrypt classified data with government-approved algorithms
SITA-Data-03,Data Security,Data Sanitization,Implement secure data sanitization for decommissioned resources
SITA-Data-04,Data Security,Government Records Management,Manage government records per archival requirements
SITA-Sec-01,Security Operations,Government SOC,Establish or connect to government security operations center
SITA-Sec-02,Security Operations,Threat Intelligence Sharing,Share threat intelligence with government agencies
SITA-Sec-03,Security Operations,Security Event Correlation,Correlate security events across government systems
SITA-Sec-04,Security Operations,Vulnerability Management for Government,Implement vulnerability management aligned with government timelines
SITA-Comp-01,Compliance & Governance,Government Compliance Framework,Adopt government-mandated compliance frameworks
SITA-Comp-02,Compliance & Governance,POPIA Compliance,Ensure compliance with Protection of Personal Information Act
SITA-Comp-03,Compliance & Governance,Government Audit Requirements,Meet government audit and reporting requirements
SITA-Comp-04,Compliance & Governance,Change Management,Implement change management aligned with government processes
SITA-BC-01,Business Continuity,Critical Service Availability,Ensure availability of critical government services
SITA-BC-02,Business Continuity,Government DR Requirements,Meet government disaster recovery requirements and timeframes
SITA-BC-03,Business Continuity,National Emergency Preparedness,Prepare for national emergency scenarios
SITA-BC-04,Business Continuity,Service Restoration Priority,Prioritize restoration of critical government services
