ADHICS_ID,Domain,Control_Name,Requirement_Summary,Control_Type,Evidence_Examples,Azure_Policy_Name,Azure_Policy_ID,Defender_Control,Defender_Recommendation
ADHICS-GOV-01,Governance,Healthcare Cybersecurity Policy,Establish cybersecurity policies specific to healthcare data protection,Management,"Policy docs, approval records",N/A,N/A,Governance & Compliance,Implement security best practices
ADHICS-GOV-02,Governance,CISO/Security Leadership,Designate healthcare cybersecurity leadership with appropriate authority,Management,"Org chart, role definitions",N/A,N/A,Governance & Compliance,Establish security leadership
ADHICS-GOV-03,Governance,Risk Management Framework,Implement healthcare-specific risk management processes,Management,"Risk register, assessments",N/A,N/A,Posture Management,Conduct risk assessments
ADHICS-PHI-01,Protected Health Information,PHI Encryption at Rest,Encrypt all protected health information at rest,Technical,"Encryption configs, key management",PostgreSQL servers should use customer-managed keys to encrypt data at rest,18adea5e-f416-4d0f-8aa8-d24321e3e274,Data Protection,Enable encryption at rest for PHI
ADHICS-PHI-02,Protected Health Information,PHI Encryption in Transit,Enforce TLS 1.2+ for all PHI transmissions,Technical,"TLS configs, protocol enforcement",N/A,N/A,Data Protection,Encrypt data in transit with TLS 1.2+
ADHICS-PHI-03,Protected Health Information,PHI Access Controls,Implement role-based access for PHI with least privilege,Technical,"RBAC configs, access logs",N/A,N/A,Identity & Access Management,Manage access to PHI with RBAC
ADHICS-PHI-04,Protected Health Information,PHI Data Masking,Apply data masking for PHI in non-production environments,Technical,"Masking configs, test environments",N/A,N/A,Data Protection,Implement PHI data masking
ADHICS-PHI-05,Protected Health Information,PHI Audit Logging,Log all PHI access and modifications,Technical,"Audit logs, SIEM integration",Enable logging by category group for resources to Log Analytics,N/A,Logging & Monitoring,Enable PHI audit logging
ADHICS-IAM-01,Identity & Access Management,Healthcare User Authentication,Implement MFA for all users accessing PHI,Technical,"MFA configs, authentication logs",Users must authenticate with multi-factor authentication to create or update resources,4e6c27d5-a6ee-49cf-b2b4-d8fe90fa2b8b,Identity & Access Management,Enforce MFA for PHI access
ADHICS-IAM-02,Identity & Access Management,Privileged Access for Clinical Systems,Implement just-in-time access for privileged clinical system operations,Technical,"PIM configs, access reviews",N/A,N/A,Identity & Access Management,Implement JIT access for clinical systems
ADHICS-IAM-03,Identity & Access Management,Patient Identity Verification,Implement strong patient identity verification mechanisms,Technical,"Identity verification configs, audit logs",N/A,N/A,Identity & Access Management,Verify patient identities
ADHICS-IAM-04,Identity & Access Management,Clinician Credential Management,Manage and secure clinician credentials and digital certificates,Technical,"Credential management, certificate inventory",N/A,N/A,Identity & Access Management,Secure clinician credentials
ADHICS-Net-01,Network Security,Clinical Network Segmentation,Segment clinical networks from administrative and guest networks,Technical,"Network topology, NSG rules",Subnets should be associated with a Network Security Group,e71308d3-144b-4262-b144-efdc3cc90517,Network Security,Segment clinical networks
ADHICS-Net-02,Network Security,Medical Device Network Isolation,Isolate medical devices on dedicated network segments,Technical,"VLAN configs, network diagrams",N/A,N/A,Network Security,Isolate medical devices
ADHICS-Net-03,Network Security,Healthcare API Security,Secure healthcare APIs (FHIR, HL7) with authentication and encryption,Technical,"API gateway configs, authentication",N/A,N/A,Application Security,Secure healthcare APIs
ADHICS-Net-04,Network Security,Telehealth Security,Implement security controls for telehealth platforms,Technical,"Video platform configs, encryption",N/A,N/A,Application Security,Secure telehealth platforms
ADHICS-App-01,Application Security,Electronic Health Record Security,Secure EHR systems with encryption and access controls,Technical,"EHR configs, security settings",N/A,N/A,Application Security,Secure EHR systems
ADHICS-App-02,Application Security,Clinical Application Hardening,Harden clinical applications against common vulnerabilities,Technical,"Security configs, vulnerability scans",System updates should be installed on your machines (powered by Azure Update Manager),e1145ab1-eb4f-43d8-911b-36ddf771d13f,Vulnerability Management,Harden clinical applications
