Control_ID,Domain,Control_Name,Requirement_Summary
POPIA-01,Accountability,Accountability,Ensure accountability for compliance with POPIA conditions
POPIA-02,Processing Limitation,Processing Limitation,Process personal information lawfully and reasonably
POPIA-03,Purpose Specification,Purpose Specification,"Collect personal information for specific, lawful purposes"
POPIA-04,Further Processing,Further Processing Limitation,Further processing must be compatible with original purpose
POPIA-05,Information Quality,Information Quality,"Ensure personal information is complete, accurate, not misleading"
POPIA-06,Openness,Openness,Take steps to ensure data subject is aware of information being collected
POPIA-07,Security Safeguards,Security Safeguards,"Secure personal information integrity and prevent loss, damage, or unauthorized access"
POPIA-08,Data Subject Participation,Data Subject Participation,Provide data subjects with access to their personal information
POPIA-09,Consent Management,Consent,Obtain valid consent from data subjects where required
POPIA-10,Cross-Border Transfer,Transborder Information Flows,Ensure adequate protection for cross-border data transfers
POPIA-11,Direct Marketing,Direct Marketing Rules,Comply with direct marketing restrictions and opt-out mechanisms
POPIA-12,Data Breach,Data Breach Notification,Notify Information Regulator and data subjects of security breaches
POPIA-13,Records,Record Keeping,Maintain records of processing operations
POPIA-14,Data Officer,Information Officer,Designate an Information Officer responsible for POPIA compliance
POPIA-15,Privacy Impact,Privacy Impact Assessment,Conduct privacy impact assessments for high-risk processing
POPIA-16,Retention,Retention and Destruction,"Retain personal information only as long as necessary, then destroy"
