Control_ID,Domain,Control_Name,Requirement_Summary,Control_Type,Evidence_Examples,Azure_Policy_Name,Azure_Policy_ID,Defender_Control,Defender_Recommendation
EGOV-01,Digital Strategy,National Digital Strategy,Align with national digital transformation strategy,Strategic,"Policy documents, implementation plans, service metrics",N/A,N/A,Regulatory Compliance,Implement eGovernment compliance controls
EGOV-02,Service Delivery,Online Service Delivery,Deliver government services through digital channels,Strategic,"Policy documents, implementation plans, service metrics",N/A,N/A,Regulatory Compliance,Implement eGovernment compliance controls
EGOV-03,Interoperability,Interoperability Standards,Ensure interoperability between government systems,Strategic,"Policy documents, implementation plans, service metrics",N/A,N/A,Regulatory Compliance,Implement eGovernment compliance controls
EGOV-04,Data Sharing,Government Data Sharing,Enable secure data sharing between government entities,Strategic,"Policy documents, implementation plans, service metrics",N/A,N/A,Data Protection,Enable data classification and protection
EGOV-05,Citizen Access,Citizen Digital Access,Provide accessible digital services to all citizens,Strategic,"Policy documents, implementation plans, service metrics",N/A,N/A,Identity & Access Management,Implement strong authentication
EGOV-06,Digital Identity,Digital Identity Services,Implement national digital identity infrastructure,Strategic,"Policy documents, implementation plans, service metrics",N/A,N/A,Identity & Access Management,Implement strong authentication
EGOV-07,Cloud First,Cloud-First Policy,Adopt cloud-first approach for government IT,Strategic,"Policy documents, implementation plans, service metrics",N/A,N/A,Regulatory Compliance,Implement eGovernment compliance controls
EGOV-08,Open Standards,Open Standards Compliance,Use open standards and avoid vendor lock-in,Strategic,"Policy documents, implementation plans, service metrics",N/A,N/A,Regulatory Compliance,Implement eGovernment compliance controls
EGOV-09,Cybersecurity,Government Cybersecurity,Implement cybersecurity measures for government services,Strategic,"Policy documents, implementation plans, service metrics",Audit encryption settings,N/A,Data Protection,Implement encryption and access controls
EGOV-10,Data Protection,Citizen Data Protection,Protect citizen data in government systems,Strategic,"Policy documents, implementation plans, service metrics",N/A,N/A,Data Protection,Enable data classification and protection
EGOV-11,Transparency,Government Transparency,Ensure transparency in digital government operations,Strategic,"Policy documents, implementation plans, service metrics",N/A,N/A,Regulatory Compliance,Implement eGovernment compliance controls
EGOV-12,Innovation,Digital Innovation,Foster innovation in government service delivery,Strategic,"Policy documents, implementation plans, service metrics",N/A,N/A,Regulatory Compliance,Implement eGovernment compliance controls
EGOV-13,Capacity Building,Digital Skills Development,Build digital capacity in government workforce,Strategic,"Policy documents, implementation plans, service metrics",N/A,N/A,Regulatory Compliance,Implement eGovernment compliance controls
EGOV-14,Infrastructure,Government IT Infrastructure,Maintain secure and reliable government IT infrastructure,Strategic,"Policy documents, implementation plans, service metrics",N/A,N/A,Regulatory Compliance,Implement eGovernment compliance controls
EGOV-15,Mobile Services,Mobile-First Services,Deliver mobile-accessible government services,Strategic,"Policy documents, implementation plans, service metrics",N/A,N/A,Regulatory Compliance,Implement eGovernment compliance controls
