SAG_ID,Domain,Control_Name,Requirement_Summary,Control_Type,Evidence_Examples,Azure_Policy_Name,Azure_Policy_ID,Defender_Control,Defender_Recommendation
SAG-DGV-01,Digital Strategy & Governance,National Digital Strategy Alignment,Align government IT with national digital transformation strategy and eGovernment policy directives,Strategic,"Policy documents, digital strategy alignment evidence, implementation plans",N/A,N/A,Regulatory Compliance,Implement eGovernment compliance controls
SAG-DGV-02,Digital Strategy & Governance,Online Service Delivery,Deliver government services through secure digital channels compliant with eGovernment framework,Strategic,"Service delivery metrics, digital channel inventory, security assessments",N/A,N/A,Regulatory Compliance,Implement eGovernment compliance controls
SAG-DGV-03,Digital Strategy & Governance,Interoperability Standards,Ensure government systems adhere to national interoperability standards for seamless cross-entity integration,Technical,"Interoperability assessments, API documentation, integration evidence",N/A,N/A,Regulatory Compliance,Implement eGovernment compliance controls
SAG-DGV-04,Digital Strategy & Governance,Government Information Sharing,Enable secure structured information sharing between national provincial and local government spheres,Governance,"Data sharing agreements, audit logs, information exchange records",N/A,N/A,Data Protection,Enable data classification and protection
SAG-DGV-05,Digital Strategy & Governance,Intergovernmental Coordination,Maintain coordination mechanisms between government spheres per IGR Framework Act 13 of 2005,Governance,"Coordination agreements, meeting records, MoU documentation",N/A,N/A,Regulatory Compliance,Implement IGR compliance controls
SAG-DGV-06,Digital Strategy & Governance,Dispute Resolution,Maintain documented procedures for intergovernmental dispute resolution per IGR Framework Act,Governance,"Dispute resolution procedures, escalation records, resolution logs",N/A,N/A,Regulatory Compliance,Implement IGR compliance controls
SAG-DGV-07,Digital Strategy & Governance,Collaborative Planning,Enable joint planning across national provincial and local government spheres,Governance,"Joint planning agreements, collaboration records, shared roadmaps",N/A,N/A,Regulatory Compliance,Implement IGR compliance controls
SAG-DGV-08,Digital Strategy & Governance,Cloud-First Policy,Adopt cloud-first approach for government IT infrastructure and service delivery,Strategic,"Cloud adoption policy, IT procurement records, cloud inventory",N/A,N/A,Regulatory Compliance,Implement eGovernment compliance controls
SAG-DGV-09,Digital Strategy & Governance,Open Standards Compliance,Use open interoperable technology standards to avoid proprietary vendor lock-in,Strategic,"Technology standards assessments, vendor contracts, standards compliance evidence",N/A,N/A,Regulatory Compliance,Implement eGovernment compliance controls
SAG-DGV-10,Digital Strategy & Governance,Digital Identity Services,Implement secure national digital identity infrastructure for citizens and government users,Technical,"Identity system architecture, federation configs, directory location evidence",N/A,N/A,Identity & Access Management,Implement strong authentication
SAG-PDP-01,Personal Data Protection,Accountability,Designate an Information Officer and ensure institutional accountability for POPIA compliance,Management,"POPIA compliance assessment, Information Officer designation, privacy policy",N/A,N/A,Regulatory Compliance,Implement POPIA compliance controls
SAG-PDP-02,Personal Data Protection,Processing Limitation,Process personal information lawfully minimally and transparently per POPIA conditions,Management,"Processing records, lawful basis documentation, POPIA compliance records",N/A,N/A,Regulatory Compliance,Implement POPIA compliance controls
SAG-PDP-03,Personal Data Protection,Purpose Specification,Collect personal information only for specific explicitly stated and lawful purposes,Management,"Purpose statements, consent records, data collection documentation",N/A,N/A,Regulatory Compliance,Implement POPIA compliance controls
SAG-PDP-04,Personal Data Protection,Further Processing Limitation,Ensure further processing is compatible with the original collection purpose,Management,"Processing compatibility assessments, further processing agreements",N/A,N/A,Regulatory Compliance,Implement POPIA compliance controls
SAG-PDP-05,Personal Data Protection,Information Quality,Maintain accurate complete and up-to-date personal information records,Management,"Data quality procedures, accuracy validation logs, update records",N/A,N/A,Data Protection,Enable data classification and protection
SAG-PDP-06,Personal Data Protection,Openness,Notify data subjects of collection activities and maintain processing transparency,Management,"Privacy notices, transparency reports, notification procedures",N/A,N/A,Regulatory Compliance,Implement POPIA compliance controls
SAG-PDP-07,Personal Data Protection,Security Safeguards,Implement technical and organizational measures to protect personal information from loss and unauthorized access,Technical,"Encryption configs, access controls, security assessment reports",Audit encryption settings,N/A,Data Protection,Implement encryption and access controls
SAG-PDP-08,Personal Data Protection,Data Subject Participation,Provide data subjects access to personal information and mechanisms to request corrections,Management,"Access request procedures, correction logs, data subject request records",N/A,N/A,Data Protection,Enable data classification and protection
SAG-PDP-09,Personal Data Protection,Consent Management,Obtain and document valid informed consent before processing personal information,Management,"Consent records, consent withdrawal procedures, audit logs",N/A,N/A,Regulatory Compliance,Implement POPIA compliance controls
SAG-PDP-10,Personal Data Protection,Cross-Border Transfer,Ensure personal information transferred outside South Africa receives equivalent POPIA-level protection,Management,"Transfer agreements, adequacy assessments, cross-border transfer records",N/A,N/A,Data Protection,Enable data classification and protection
SAG-PDP-11,Personal Data Protection,Direct Marketing Rules,Comply with POPIA direct marketing restrictions and implement opt-out mechanisms,Management,"Opt-out procedures, marketing consent records, direct marketing policy",N/A,N/A,Regulatory Compliance,Implement POPIA compliance controls
SAG-PDP-12,Personal Data Protection,Data Breach Notification,Notify the Information Regulator and affected data subjects promptly upon discovering a security compromise,Management,"Breach notification procedures, incident response logs, regulator notification records",N/A,N/A,Data Protection,Enable data classification and protection
SAG-PDP-13,Personal Data Protection,Record Keeping,Maintain comprehensive records of all personal information processing operations,Management,"Processing registers, retention schedules, audit trails",N/A,N/A,Regulatory Compliance,Implement POPIA compliance controls
SAG-PDP-14,Personal Data Protection,Privacy Impact Assessment,Conduct formal PIAs prior to initiating high-risk personal information processing,Management,"PIA reports, risk assessments, sign-off documentation",N/A,N/A,Regulatory Compliance,Implement POPIA compliance controls
SAG-PDP-15,Personal Data Protection,Retention and Destruction,Retain personal information only as long as necessary and securely destroy upon completion of purpose,Management,"Retention schedules, destruction certificates, disposal procedures",N/A,N/A,Regulatory Compliance,Implement POPIA compliance controls
SAG-CLD-01,Cloud Architecture & Sovereignty,Data Residency,Ensure all government data resides within South African borders per POPIA and SITA cloud policy,Technical,"Region configs, data location reports, storage account location evidence",N/A,N/A,Data Sovereignty,Enforce data residency in South Africa
SAG-CLD-02,Cloud Architecture & Sovereignty,Sovereign Identity,Implement identity and access management services within South African sovereign boundaries,Technical,"Identity configs, directory location evidence, federation documentation",N/A,N/A,Identity & Access Management,Configure sovereign identity services
