SAMA_ID,Domain,Control_Name,Requirement_Summary,Control_Type,Evidence_Examples,Azure_Policy_Name,Azure_Policy_ID,Defender_Control,Defender_Recommendation
SAMA-GOV-01,Cybersecurity Governance,Establish cybersecurity policy,"Define, approve, and annually review an enterprise cybersecurity policy covering scope, roles, risk appetite, and control baselines.",Management,"Approved policy, review minutes, distribution records",N/A,N/A,Governance & Compliance,Implement security best practices
SAMA-GOV-02,Cybersecurity Governance,Roles and responsibilities,"Assign accountable owners for cybersecurity, define RACI, and ensure separation of duties for administration and audit.",Management,"Org charts, role descriptions, access approvals",N/A,N/A,Identity & Access Management,Manage access and permissions
SAMA-GOV-03,Cybersecurity Governance,Control framework adoption,"Adopt recognized security controls framework and tailor to organizational risk (e.g., benchmark or regulatory mapping).",Management,"Framework mapping, exception register",N/A,N/A,Governance & Compliance,Implement security best practices
SAMA-RM-01,Risk Management & Compliance,Risk assessment,"Perform periodic risk assessments, document risks, treatment plans, and track residual risk.",Management,"Risk register, assessment reports",N/A,N/A,Posture Management,Implement security best practices
SAMA-RM-02,Risk Management & Compliance,Compliance management,Identify applicable laws/regulations and monitor compliance posture and remediation.,Management,"Compliance dashboard, audit findings",N/A,N/A,Regulatory Compliance,Monitor regulatory compliance
SAMA-RM-03,Risk Management & Compliance,Exception management,"Formal process to record, approve, time-bound, and monitor security exceptions.",Management,"Exception approvals, compensating controls",N/A,N/A,Governance & Compliance,Implement security best practices
SAMA-TP-01,Third-Party Security,Vendor risk management,"Assess and monitor third-party cybersecurity, include security clauses and right-to-audit.",Management,"TP questionnaires, contractual clauses",N/A,N/A,Posture Management,Implement security best practices
SAMA-BC-01,Business Continuity & DR,Business continuity planning,"Define BIA, RTO/RPO targets, recovery strategies, and test plans annually.",Operational,"BCP docs, test results",N/A,N/A,Business Continuity,Implement security best practices
SAMA-BC-02,Business Continuity & DR,Disaster recovery,"Implement DR for critical systems, perform failover tests, and validate data integrity.",Operational,"DR runbooks, failover logs",N/A,N/A,Business Continuity,Implement security best practices
SAMA-IR-01,Incident Response,Incident management program,"Define incident classifications, runbooks, communication, and escalation procedures; test semi-annually.",Operational,"IR plan, tabletop records",N/A,N/A,Threat Protection,Enable auditing and logging
SAMA-IR-02,Incident Response,Forensics and evidence,Preserve logs and chain-of-custody for investigations; ensure legal admissibility.,Operational,"Log retention, forensic tool outputs",N/A,N/A,Logging & Monitoring,Enable auditing and logging
SAMA-AC-01,Identity & Access Control,Strong authentication,Enforce MFA for privileged and user access; disable legacy protocols where possible.,Technical,"MFA reports, conditional access policies",Users must authenticate with multi-factor authentication to create or update resources,4e6c27d5-a6ee-49cf-b2b4-d8fe90fa2b8b,Identity & Access Management,Enable MFA - Require multifactor authentication for all users
SAMA-AC-02,Identity & Access Control,Least privilege & RBAC,"Use role-based access, just-in-time elevation, and periodic access reviews.",Technical,"RBAC assignments, PIM/Azure AD logs",N/A (Built-in RBAC),N/A,Identity & Access Management,Manage access and permissions - Use role-based access control
SAMA-AC-03,Identity & Access Control,Secrets & key management,"Manage keys/secrets in hardened vaults, rotate, and enforce CMK for sensitive workloads.",Technical,"Key Vault configs, rotation logs",OS and data disks should be encrypted with a customer-managed key,702dd420-7fcc-42c5-afe8-4026edd20fe0,Data Protection,Enable encryption at rest with customer-managed keys
SAMA-AC-04,Identity & Access Control,Disable local auth,Eliminate local/shared keys and legacy admin accounts; require identity-based auth.,Technical,"Policy compliance, credential inventory",N/A,N/A,Identity & Access Management,Manage access and permissions
SAMA-NS-01,Network Security,Segmentation and zoning,"Segment networks, isolate sensitive workloads, enforce east-west controls.",Technical,"NSGs, Firewall rules, topology diagrams",Subnets should be associated with a Network Security Group,e71308d3-144b-4262-b144-efdc3cc90517,Network Security,Restrict unauthorized network access
SAMA-NS-02,Network Security,Private access only,Disable public endpoints and require Private Link/private endpoints for data services.,Technical,"Policy evidence, private endpoint inventory",App Configuration should use private link,ca610c1d-041c-4332-9d88-7ed3094967c7,Network Security,Secure cloud services with network controls - Use Private Link
SAMA-NS-03,Network Security,Boundary protection,"Use Azure Firewall/WAF, DDoS Standard, and secure ingress/egress.",Technical,"DDoS plan, firewall policies",N/A,N/A,Network Security,Protect applications against DDoS attacks
