KSA_ID,Domain,Control_Name,Requirement_Summary,Control_Type,Evidence_Examples,Azure_Policy_Name,Azure_Policy_ID,Defender_Control,Defender_Recommendation
KSA-GOV-01,Cybersecurity Governance,Cybersecurity Strategy,Develop and maintain a cybersecurity strategy prioritizing critical system and national infrastructure protection per NCA,Management,"Cybersecurity strategy document, NCA alignment evidence, board approval records",N/A,N/A,Regulatory Compliance,Align with NCA CSCC requirements
KSA-GOV-02,Cybersecurity Governance,Risk Management,Conduct annual risk assessments and maintain monthly-reviewed risk register for critical systems per NCA CSCC,Management,"Risk assessment reports, risk register, review cadence evidence",N/A,N/A,Posture Management,Enable Defender CSPM risk prioritization
KSA-GOV-03,Cybersecurity Governance,Cybersecurity in IT Projects,Integrate security requirements into IT project management including secure development testing and deployment,Management,"SDLC security procedures, DevOps security configs, code review evidence",N/A,N/A,Application Security,Enable Defender for DevOps scanning
KSA-GOV-04,Cybersecurity Governance,Periodic Review and Audit,Conduct annual cybersecurity reviews by cybersecurity function and independent audits every three years,Management,"Audit reports, review records, third-party findings, remediation evidence",N/A,N/A,Regulatory Compliance,Enable Defender compliance dashboard
KSA-GOV-05,Cybersecurity Governance,Human Resources Security,Implement personnel screening and vetting for workers with access to critical systems,Management,"Background check records, vetting procedures, access provisioning evidence",N/A,N/A,Identity & Access Management,Configure conditional access for personnel
KSA-INF-01,Infrastructure Security,Compute Instance Hardening,Harden VM configurations apply security baselines disable unnecessary services and check for missing updates,Technical,"VM baseline assessments, hardening evidence, update status reports",Machines should be configured to periodically check for missing system updates,bd876905-5b84-4f73-ab2d-2e7a7c4568d9,Posture Management,Remediate security configurations
KSA-INF-02,Infrastructure Security,Virtual Network Isolation,Implement VNet segmentation and isolation for workloads using network security groups,Technical,"VNet configs, NSG rule sets, network topology diagrams",Subnets should be associated with a Network Security Group,e71308d3-144b-4262-b144-efdc3cc90517,Network Security,Restrict unauthorized network access
KSA-INF-03,Infrastructure Security,Storage Encryption,Encrypt all storage at rest using strong government-approved encryption with customer-managed keys,Technical,"Disk encryption status, CMK configs, Key Vault access policies",OS and data disks should be encrypted with a customer-managed key,702dd420-7fcc-42c5-afe8-4026edd20fe0,Data Protection,Enable encryption at rest
KSA-INF-04,Infrastructure Security,Secure Boot and Attestation,Enable secure boot and TPM capabilities on virtual machines for hardware-level integrity,Technical,"VM security configs, secure boot status, attestation logs",N/A,N/A,Compute Security,Enable secure boot for virtual machines
KSA-PLA-01,Platform Security,API Gateway Security,Implement API gateway with authentication authorization and rate limiting for all exposed APIs,Technical,"API Management configs, authentication policies, rate limit logs",N/A,N/A,Application Security,Secure APIs with authentication and throttling
KSA-PLA-02,Platform Security,Database Security,Enable database encryption audit logging and disable public access for all database services,Technical,"Database configs, audit logs, public access status reports",Azure SQL Managed Instances should disable public network access,9dfea752-dd46-4766-aed1-c355fa93fb91,Data Protection,Secure database services
