Control_ID,Domain,Control_Name,Requirement_Summary,Control_Type,Evidence_Examples,Azure_Policy_Name,Azure_Policy_ID,Defender_Control,Defender_Recommendation
POPIA-01,Accountability,Accountability,Ensure accountability for compliance with POPIA conditions,Management,"POPIA compliance assessment, privacy policy, consent records",N/A,N/A,Regulatory Compliance,Implement POPIA compliance controls
POPIA-02,Processing Limitation,Processing Limitation,Process personal information lawfully and reasonably,Management,"POPIA compliance assessment, privacy policy, consent records",N/A,N/A,Regulatory Compliance,Implement POPIA compliance controls
POPIA-03,Purpose Specification,Purpose Specification,"Collect personal information for specific, lawful purposes",Management,"POPIA compliance assessment, privacy policy, consent records",N/A,N/A,Regulatory Compliance,Implement POPIA compliance controls
POPIA-04,Further Processing,Further Processing Limitation,Further processing must be compatible with original purpose,Management,"POPIA compliance assessment, privacy policy, consent records",N/A,N/A,Regulatory Compliance,Implement POPIA compliance controls
POPIA-05,Information Quality,Information Quality,"Ensure personal information is complete, accurate, not misleading",Management,"POPIA compliance assessment, privacy policy, consent records",N/A,N/A,Data Protection,Enable data classification and protection
POPIA-06,Openness,Openness,Take steps to ensure data subject is aware of information being collected,Management,"POPIA compliance assessment, privacy policy, consent records",N/A,N/A,Regulatory Compliance,Implement POPIA compliance controls
POPIA-07,Security Safeguards,Security Safeguards,"Secure personal information integrity and prevent loss, damage, or unauthorized access",Management,"POPIA compliance assessment, privacy policy, consent records",Audit encryption settings,N/A,Data Protection,Implement encryption and access controls
POPIA-08,Data Subject Participation,Data Subject Participation,Provide data subjects with access to their personal information,Management,"POPIA compliance assessment, privacy policy, consent records",N/A,N/A,Data Protection,Enable data classification and protection
POPIA-09,Consent Management,Consent,Obtain valid consent from data subjects where required,Management,"Documented procedures, compliance records, audit logs",N/A,N/A,Regulatory Compliance,Implement POPIA compliance controls
POPIA-10,Cross-Border Transfer,Transborder Information Flows,Ensure adequate protection for cross-border data transfers,Management,"Documented procedures, compliance records, audit logs",N/A,N/A,Data Protection,Enable data classification and protection
POPIA-11,Direct Marketing,Direct Marketing Rules,Comply with direct marketing restrictions and opt-out mechanisms,Management,"Documented procedures, compliance records, audit logs",N/A,N/A,Regulatory Compliance,Implement POPIA compliance controls
POPIA-12,Data Breach,Data Breach Notification,Notify Information Regulator and data subjects of security breaches,Management,"Documented procedures, compliance records, audit logs",N/A,N/A,Data Protection,Enable data classification and protection
POPIA-13,Records,Record Keeping,Maintain records of processing operations,Management,"Documented procedures, compliance records, audit logs",N/A,N/A,Regulatory Compliance,Implement POPIA compliance controls
POPIA-14,Data Officer,Information Officer,Designate an Information Officer responsible for POPIA compliance,Management,"Documented procedures, compliance records, audit logs",N/A,N/A,Data Protection,Enable data classification and protection
POPIA-15,Privacy Impact,Privacy Impact Assessment,Conduct privacy impact assessments for high-risk processing,Management,"Documented procedures, compliance records, audit logs",N/A,N/A,Regulatory Compliance,Implement POPIA compliance controls
POPIA-16,Retention,Retention and Destruction,"Retain personal information only as long as necessary, then destroy",Management,"Documented procedures, compliance records, audit logs",N/A,N/A,Regulatory Compliance,Implement POPIA compliance controls
