OMN_ID,Domain,Control_Name,Requirement_Summary,Control_Type,Evidence_Examples,Azure_Policy_Name,Azure_Policy_ID,Defender_Control,Defender_Recommendation
OMN-NET-01,Network Security,Firewalls and DDoS Protection,Implement firewalls and DDoS protection at the network level to protect cloud services from attacks,Technical,"Firewall configs, DDoS protection status, NSG rule evidence",Azure DDoS Network Protection should be enabled,055f3b15-58a8-4d91-a4f6-8437a6c8f7e8,Network Security,Enable DDoS protection and firewall controls
OMN-NET-01,Network Security,Firewalls and DDoS Protection,Implement firewalls and DDoS protection at the network level to protect cloud services from attacks,Technical,"Firewall configs, DDoS protection status, NSG rule evidence",Azure Firewall should be enabled on virtual networks,fc5e4038-4584-4632-8c85-c0448d374b2c,Network Security,Enable DDoS protection and firewall controls
OMN-NET-01,Network Security,Firewalls and DDoS Protection,Implement firewalls and DDoS protection at the network level to protect cloud services from attacks,Technical,"Firewall configs, DDoS protection status, NSG rule evidence",Subnets should be associated with a Network Security Group,e71308d3-144b-4262-b144-efdc3cc90517,Network Security,Enable DDoS protection and firewall controls
OMN-NET-02,Network Security,OS and Network Hardening,Apply secure baseline configurations to operating systems networks and servers,Technical,"OS hardening checklists, system update status, baseline assessment reports",System updates should be installed on your machines (powered by Azure Update Manager),e1145ab1-eb4f-43d8-911b-36ddf771d13f,Vulnerability Management,Remediate OS and network hardening findings
OMN-IAM-01,Identity & Access Control,Centralized Identity and Access Management,Manage permissions centrally using RBAC IBAC and ABAC and implement tokenization for sensitive resources,Technical,"RBAC configs, identity management policies, tokenization evidence",Role-Based Access Control (RBAC) should be used on Kubernetes Services,34c877ad-507e-4c82-993e-3452a6e0ad3c,Identity & Access Management,Implement centralized identity management
OMN-IAM-01,Identity & Access Control,Centralized Identity and Access Management,Manage permissions centrally using RBAC IBAC and ABAC and implement tokenization for sensitive resources,Technical,"RBAC configs, JIT access logs, management port status",Just-In-Time network access control should be applied on virtual machines,1f314764-cb73-4fc9-b863-8eca98ac36e9,Identity & Access Management,Enable JIT access on VMs
OMN-IAM-01,Identity & Access Control,Centralized Identity and Access Management,Manage permissions centrally using RBAC IBAC and ABAC and implement tokenization for sensitive resources,Technical,"Management port status, network access controls, JIT configs",Management ports should be closed on your virtual machines,0b15565f-aa9e-48ba-8619-45960f2c314d,Network Security,Close management ports on VMs
OMN-MON-01,Logging & Monitoring,SIEM Integration and Log Aggregation,Audit user activities and data movements using SIEM integrated with comprehensive log aggregation,Technical,"SIEM configs, log forwarding rules, workspace connection evidence, retention settings",Enable logging by category group for Log Analytics workspaces to Log Analytics,818719e5-1338-4776-9a9d-3c31e4df5986,Logging & Monitoring,Enable comprehensive logging and SIEM integration
OMN-MON-01,Logging & Monitoring,SIEM Integration and Log Aggregation,Audit user activities and data movements using SIEM integrated with comprehensive log aggregation,Technical,"Diagnostic settings, resource monitoring configs, Log Analytics workspace evidence",Diagnostic settings for selected resource types should be enabled,428256e6-1fac-4f48-a757-df34c2b3336d,Logging & Monitoring,Enable diagnostic settings for all resources
OMN-MON-01,Logging & Monitoring,SIEM Integration and Log Aggregation,Audit user activities and data movements using SIEM integrated with comprehensive log aggregation,Technical,"Activity log retention configs, log analytics workspace settings",Activity log should be retained for at least one year,b79fa14e-238a-4c2d-b376-442ce508fc84,Logging & Monitoring,Retain activity logs for one year minimum
OMN-IAM-02,Identity & Access Control,Multi-Factor Authentication,Enable MFA for all users accessing cloud services per CDC requirements,Technical,"MFA enforcement policies, conditional access configs, authentication logs",Users must authenticate with multi-factor authentication to create or update resources,4e6c27d5-a6ee-49cf-b2b4-d8fe90fa2b8b,Identity & Access Management,Enforce MFA for all cloud service access
OMN-IAM-03,Identity & Access Control,Geographic Access Restrictions,Enable conditional access geo-blocking to restrict access from unauthorized regions,Operational,"Conditional access policies, named locations configuration, sign-in logs showing geo restrictions",N/A - Configured via Conditional Access Named Locations,N/A,Identity & Access Management,Configure geographic access restrictions via Conditional Access
OMN-RSK-01,Risk Management & Compliance,Penetration Testing and Risk Assessment,Conduct penetration testing and risk analysis for all cloud environments,Operational,"Penetration test reports, risk assessment documentation, remediation evidence",Vulnerability assessment should be enabled on your virtual machines,e96a9a5f-07ca-471b-9bc5-6a0f33cbd68f,Posture Management,Enable vulnerability assessment on VMs
OMN-DAT-01,Data Protection & Privacy,Data Classification,Classify all data per Omani laws and CDC classification guidelines,Operational,"Classification policy, data labeling evidence, classification scan reports",Sensitive data in your SQL databases should be classified,0b60c0b2-2dc2-4e1c-b5c9-abbed971de53,Data Protection,Classify sensitive data in databases
OMN-DAT-02,Data Protection & Privacy,Data Encryption in Transit and at Rest,Encrypt all data during transfer processing and storage,Technical,"TDE status, TLS version configs, secure transfer settings, encryption evidence",Transparent Data Encryption on SQL databases should be enabled,7595c971-233d-4bcf-bd18-596129188c49,Data Protection,Enable data encryption in transit and at rest
OMN-DAT-02,Data Protection & Privacy,Data Encryption in Transit and at Rest,Encrypt all data during transfer processing and storage,Technical,"Storage secure transfer settings, TLS configs, encryption status",Secure transfer to storage accounts should be enabled,404c3081-a854-4457-ae30-26a93ef643f9,Data Protection,Enable secure transfer to storage accounts
OMN-DAT-02,Data Protection & Privacy,Data Encryption in Transit and at Rest,Encrypt all data during transfer processing and storage,Technical,"Storage TLS version settings, minimum TLS configs",Storage accounts should require minimum TLS version,4733ea7b-a883-42fe-8cac-97454c2a9e4a,Data Protection,Enforce minimum TLS version on storage
OMN-DAT-03,Data Protection & Privacy,Customer-Managed Keys (BYOK),Apply customer-managed key encryption based on data sensitivity classification,Technical,"CMK configs, Key Vault access policies, BYOK evidence for disk encryption",OS and data disks should be encrypted with a customer-managed key,702dd420-7fcc-42c5-afe8-4026edd20fe0,Data Protection,Enable CMK encryption for disks
OMN-DAT-03,Data Protection & Privacy,Customer-Managed Keys (BYOK),Apply customer-managed key encryption based on data sensitivity classification,Technical,"PostgreSQL CMK configs, customer-managed key evidence",PostgreSQL servers should use customer-managed keys to encrypt data at rest,18adea5e-f416-4d0f-8aa8-d24321e3e274,Data Protection,Enable CMK for PostgreSQL
OMN-DAT-03,Data Protection & Privacy,Customer-Managed Keys (BYOK),Apply customer-managed key encryption based on data sensitivity classification,Technical,"MySQL CMK configs, customer-managed key evidence",MySQL servers should use customer-managed keys to encrypt data at rest,0a370ff3-6cab-4e85-8995-295fd854c5b8,Data Protection,Enable CMK for MySQL
